code1,code2,similar
"['import networkx as nx\n', 'N, M = map(int, input().split())\n', '\n', 'G = nx.Graph()\n', '\n', 'G.add_edges_from(tuple(map(int, input().split())) for _ in range(M))\n', '\n', 'dist = nx.shortest_path_length(G, target=1)\n', ""print('Yes')\n"", 'for i in range(2, N+1):\n', '  print(min((dist[j], j) for j in nx.all_neighbors(G, i))[1])\n', '    \n', '\n', '\n', '\n']","['from collections import deque\n', '\n', 'N,M =map(int,input().split())\n', 'graph=[[] for _ in range(N)]\n', '\n', 'for _ in range(M):\n', '    a,b=map(int,input().split())\n', '    a,b=a-1,b-1\n', '    graph[a].append(b)\n', '    graph[b].append(a)\n', '\n', 'dist=[-1]*N\n', 'pre=[-1]*N\n', 'dist[0]=0\n', '\n', 'q=deque()\n', 'q.append(0)\n', '\n', 'while q:\n', '    v=q.popleft()\n', '    for i in graph[v]:\n', '        if dist[i] != -1:\n', '            continue\n', '        else:\n', '            dist[i]=dist[v]+1\n', '            pre[i]=v\n', '            q.append(i)\n', '\n', 'print(""Yes"")\n', 'for i in range(1,N):\n', '    print(pre[i]+1)']",1
"['S,T = input().split("" "")\n', 'A,B = list(map(int,input().split("" "")))\n', 'U = input()\n', '\n', 'if S == U:\n', '  print(A-1,B)\n', 'else:\n', '  print(A,B-1)']","['s,t = input().split()\n', 'd={}\n', 'd[s], d[t] = map(int,input().split())\n', 'd[input()] -= 1\n', 'print(d[s],d[t])']",1
"['x,y,z=map(int,input().split())\n', 'count=0\n', 'for i in range(x,y+1):\n', '  if(i%z==0):\n', '    count+=1\n', 'print(count)\n']","['l,r,d = map(int,input().split())\n', 'count = 0\n', 'for i in range(l,r + 1):\n', '    if i % d == 0:\n', '        count += 1\n', '    else:\n', '        pass\n', 'print(count)']",1
"['# -*- coding: utf-8 -*-\n', '\n', '#整数値龍力\u3000複数の入力\n', 'def input_multiple_number():\n', '    return map(int, input().split())\n', '\n', 'N_given,A_given,B_given = input_multiple_number()\n', '\n', 'cnt = 0\n', 'while True:\n', '    if (B_given - A_given)%2 == 0:\n', '        print(cnt + (B_given-A_given)//2)\n', '        exit(0)\n', '    else:\n', '        if (N_given - B_given) > (A_given-1):\n', '            cnt += (A_given-1)\n', '            cnt += 1\n', '            A_given = 1\n', '            B_given -= cnt\n', '        else:\n', '            cnt += (N_given - B_given)\n', '            cnt += 1\n', '            B_given = N_given\n', '            A_given += cnt\n', '\n', '\n']","['n,a,b = map(int,input().split())\n', 'if (b - a)%2 == 0:\n', '    x = (b - a)//2\n', '    y = min(max(a-1,b-1),max(n-a,n-b))\n', '    print(min(x,y))\n', 'else:\n', '    p = max(a-1,b-1)\n', '    q = max(n-a,n-b)\n', '    r = a-1+1+(b-(a-1)-1-1)//2\n', '    s = n-b+1+(n-(n-b+1)-a)//2\n', '    #print(p,q,r,s)\n', '    print(min(p,q,r,s))']",1
"['a, b = map(int, input().split())\n', 'd = a/b\n', 'r = a%b\n', 'f = a/b\n', 'print(""%d %d %.6f""%(d, r, f))\n']","['a, b = [int(i) for i in input().split("" "")]\n', 'num1 = a // b\n', 'num2 = a % b\n', 'num3 = ""{:.8f}"".format(a / b)\n', '\n', 'print(num1, num2, num3)']",1
"['#Macで実行する時\n', 'import sys\n', 'import os\n', 'if sys.platform==""darwin"":\n', '\tbase = os.path.dirname(os.path.abspath(__file__))\n', ""\tname = os.path.normpath(os.path.join(base, '../atcoder/input.txt'))\n"", '\tsys.stdin = open(name)\n', '\n', 'l = list(input())\n', '#print(l)\n', 'set_l = set(l)\n', 'if len(set_l)==1:\n', '    print(""No"")\n', 'else:\n', '    print(""Yes"")\n', '\n', '\n']","['S=input()\n', ""if S.count('A')==1 or S.count('A')==2:\n"", ""  print('Yes')\n"", 'else:\n', ""  print('No')""]",1
"['a, b = map(int, input().split())\n', '\n', 'ab = str(a) * b\n', 'ba = str(b) * a\n', '\n', 'print(sorted([ab, ba])[0])\n']","['x, y = map(int, input().split())\n', 'if(x < y):\n', '    for i in range(0, y):\n', ""        print(x, end = '')\n"", 'else:\n', '    for i in range(0, x):\n', ""        print(y, end = '')\n"", '\n', '\n', '\n', '\n']",1
"['n=int(input())\n', 's=list(map(str,input()))\n', 'if n%2==0:\n', '    num=int(n/2)\n', '    Sx=s[0:num]\n', '    Sy=s[num:n]\n', '    if Sx==Sy:\n', '      print(""Yes"")\n', '    else:\n', '      print(""No"")\n', 'else:\n', '  print(""No"")']","['N = int(input())\n', 'S = input()\n', '\n', 'if len(S) % 2 == 0 :\n', '    for i in range(len(S)//2) :\n', '        if S[i] != S[i+len(S)//2] :\n', '            print(""No"")\n', '            exit()\n', '    print(""Yes"")\n', '    exit()\n', 'print(""No"")']",1
"['s=input()\n', 'cnt=s.count(""hi"")\n', 'if cnt*2==len(s):\n', '  print(""Yes"")\n', 'else:\n', '  print(""No"")']","['S = str(input())\n', ""ans = 'Yes'\n"", '\n', 'from collections import Counter\n', 'SC = Counter(list(S))\n', 'h,i = 0,0\n', 'for a,b in SC.items():\n', ""  if a == 'h':\n"", '    h = b\n', ""  elif a == 'i':\n"", '    i = b\n', '  else:\n', ""    ans = 'No'\n"", '    break\n', '\n', 'if h == i:\n', '  for i in range(0,len(S)-1,2):\n', ""    if S[i]+S[i+1] != 'hi':\n"", ""      ans = 'No'\n"", '      break\n', 'else:\n', ""  ans = 'No'\n"", '  \n', 'print(ans)']",1
"['import math\n', 'def modpow(a, n, p):\n', '  if n == 0:\n', '    return 1\n', '  if n == 1:\n', '    return a % p \n', '  elif n % 2 == 1:\n', '    return a * modpow(a, n-1, p) % p\n', '  else:\n', '    return modpow(a, n//2, p) **2 % p\n', 'MOD = 1000000007\n', 'n = int(input())\n', '#初期値が0の辞書\n', 'from collections import defaultdict\n', 'pp = defaultdict(lambda: 0) \n', 'pm = defaultdict(lambda: 0) \n', 'def seiki(x,y):\n', '    tmp=math.gcd(x,y)\n', '    return (x//tmp,y//tmp)\n', '\n', 'a0b0 = 0\n', '\n', 'for i in range(n):\n', '  a, b = map(int, input().split())\n', '\n', '  if a == 0 and b == 0:\n', '    a0b0 += 1\n', '  elif a == 0:\n', '    pp[(0,1)] += 1\n', '\n', '  elif b == 0:\n', '    pm[(0,1)] += 1\n', '\n', '  elif a*b>0:\n', '    tmp = seiki(abs(a),abs(b))\n', '    pp[tmp] += 1\n', '\n', '  else:\n', '    tmp = seiki(abs(b),abs(a))\n', '    pm[tmp] += 1\n', '\n', 'ans = 1\n', 'for key in set(pp.keys()) | set(pm.keys()):\n', '    pp_v=pp[key]\n', '    pm_v=pm[key]\n', '    ans*=(modpow(2,pm_v,MOD)+modpow(2,pp_v,MOD)-1)\n', '    ans%=MOD\n', '\n', 'ans = (ans+a0b0-1) % MOD\n', 'print(ans)\n', '    \n', '  \n']","['from collections import defaultdict\n', 'import math\n', '\n', '\n', 'def ggg(a, b):\n', '    """"""規約分数を作る。n/0, 0/n は n=1,-1 にして返す。""""""\n', '    if a == b == 0:\n', '        return 0, 0\n', '\n', '    denominator = math.gcd(a, b)\n', '    x, y = a // denominator, b // denominator\n', '    return x, y\n', '\n', '\n', 'def main():\n', '    n = int(input())\n', '    mod = 1000000007\n', '    zeroes = 0\n', '    counter = defaultdict(lambda: defaultdict(int))\n', '    for _ in range(n):\n', '        a, b = [int(x) for x in input().split()]\n', '        x, y = ggg(a, b)\n', '\n', '        if x == y == 0:\n', '            zeroes += 1\n', '            continue\n', '        if y < 0:\n', '            # quadrant III, IV -> I, II\n', '            x, y = -x, -y\n', '\n', '        if x <= 0:\n', '            # round 90° from quadrant II to I\n', '            x, y = y, -x\n', '            counter[(x, y)][1] += 1\n', '        else:\n', '            counter[(x, y)][0] += 1\n', '\n', '    ans = 1\n', '    for v in counter.values():\n', '        now = 1\n', '        now += pow(2, v[0], mod) - 1\n', '        now += pow(2, v[1], mod) - 1\n', '        ans = ans * now % mod\n', '    ans += zeroes\n', '    ans -= 1  # choose no fish\n', '    return ans % mod\n', '\n', '\n', ""if __name__ == '__main__':\n"", '    print(main())\n']",1
"['from decimal import Decimal as D\n', 'a,b=map(str,input().split())\n', 'print(int(D(a)*D(b)))']","['from decimal import Decimal\n', 'A,B=input().split()\n', 'A=int(A)\n', 'B=Decimal(B)\n', 'Bint=int(B)\n', 'B1=int((B-Bint)*100)\n', 'result=A*Bint+A*B1//100\n', 'print(result)']",1
"['n = int(input())\n', 'a = list(map(int, input().split()))\n', '\n', 'org = [[i, a[i]] for i in range(n)]\n', '\n', 'lis = sorted(org, key=lambda x: x[1], reverse=True)\n', '\n', 'dp = [[0 for i in range(n+1)] for j in range(n+1)]\n', '\n', '\n', 'for i in range(0, n, 1):\n', '    for j in range(0, n-i, 1):\n', '        if i + j == n:\n', '            break\n', '            \n', '        dp[i+1][j] = max(dp[i+1][j], dp[i][j] + lis[i+j][1]*abs(lis[i+j][0] - i))\n', '        dp[i][j+1] = max(dp[i][j+1], dp[i][j] + lis[i+j][1]*abs(lis[i+j][0] - (n-j-1)))\n', '\n', 'ans = 0\n', 'for i in range(n):\n', '    for j in range(n):\n', '        ans = max(ans, dp[i][j])\n', '        \n', 'print(ans)']","['# import time\n', '# p0 = time.time()\n', '\n', 'N = int(input())\n', 'A = list(map(int,input().split()))\n', '# print(A)\n', 'A = [[A[i],i] for i in range(N)]\n', 'A.sort(reverse=True)\n', '# print(""A :"",A)\n', 'dp = [[0]*(N+1) for _ in range(N+1)]\n', '# print(dp)\n', '\n', '#dp[x][y] : x人は Ai*(i-pi),y人は Ai*(pi-i)\n', '#           piは 0,1,2...   piはN-1,N-2,N-3,,\n', '# p1 = time.time()-p0\n', '\n', 'dp[0][0] = 0\n', '# y = 0\n', 'for x in range(1,N+1):\n', '    dp[x][0] = dp[x-1][0]+A[x-1][0]*(A[x-1][1]-x+1)\n', '    # print(x,dp)\n', '# x = 0\n', 'for y in range(1,N+1):\n', '    dp[0][y] = dp[0][y-1]+A[y-1][0]*(N-y - A[y-1][1])\n', '    # print(x,dp)\n', '\n', '# p2 = time.time()-p0\n', 'for x in range(1,N):\n', '    for y in range(1,N+1-x):\n', '        A0 = A[x+y-1][0]\n', '        A1 = A[x+y-1][1]\n', '        dp[x][y] = max(dp[x-1][y] + A0*(A1+1 - x), dp[x][y-1] + A0*(N-y - A1))\n', '# print(dp)\n', '\n', '# p3 = time.time()-p0\n', '\n', 'c = 0\n', 'for i in range(N):\n', '    if c < dp[i][N-i]:\n', '        c = dp[i][N-i]\n', 'print(c)\n', '\n', '# print(p1,p2,p3)']",1
"['\n', '1\n', '2\n', '3\n', 'from math import pi\n', 'r = float(input())\n', ""print('{:.6f} {:.6f}'.format(pi*r**2, 2*pi*r))""]","['r = float(input())\n', 'pi = 3.141592653589\n', 's = pi * r**2\n', 'h = 2 * pi * r\n', 'print(""{:.6f}"".format(s), ""{:.6f}"".format(h))\n']",1
"['# coding: UTF-8\n', 'moji = str(raw_input())\n', 'print moji.swapcase()\n']","['S = input()\n', 'for c in S:\n', ""    print(c.swapcase(), end='')\n"", '\n', 'print()\n']",1
"['import fractions\n', '\n', 'lst = []\n', 'for i in range(200):\n', '    try:\n', '        lst.append(input())\n', '    except EOFError:\n', '        break\n', '\n', ""nums = [list(map(int, elem.split(' '))) for elem in lst]\n"", '\n', '# gcd \n', 'res_gcd = [fractions.gcd(num[0], num[1]) for num in nums]\n', '\n', '# lcm\n', 'res_lcm = [nums[i][0] * nums[i][1] // res_gcd[i] for i in range(len(nums))]\n', '\n', 'for (a, b) in zip(res_gcd, res_lcm):\n', ""    print('{} {}'.format(a, b))""]","['# coding=utf-8\n', '\n', '\n', 'def solve_gcd(number1: int, number2: int) -> int:\n', '    two_list = [number1, number2]\n', '    two_list.sort()\n', '    if two_list[1] % two_list[0] == 0:\n', '        return two_list[0]\n', '    r = two_list[1] % two_list[0]\n', '    return solve_gcd(two_list[0], r)\n', '\n', '\n', 'def solve_lcm(number1: int, number2: int, number3: int) -> int:\n', '    return number1*number2//number3\n', '\n', '\n', ""if __name__ == '__main__':\n"", '    while True:\n', '        try:\n', '            a, b = map(int, input().split())\n', '        except EOFError:\n', '            break\n', '        gcd = solve_gcd(a, b)\n', '        lcm = solve_lcm(a, b, gcd)\n', '        print(gcd, lcm)']",1
